Ticker,Year,Month,Monthly_Return_Percentage,Date
AXP,2024,7,6.37340925047827,2024-07-01
AXP,2024,8,4.8481278079275265,2024-08-01
MA,2010,1,-1.1112417351951736,2010-01-01
MA,2010,2,-7.760442333371588,2010-02-01
MA,2010,3,8.837196042436299,2010-03-01
MA,2010,4,-2.1276997500933534,2010-04-01
MA,2010,5,-20.24993758927932,2010-05-01
MA,2010,6,1.67367678620817,2010-06-01
MA,2010,7,4.178214993701324,2010-07-01
MA,2010,8,-3.9470942746766156,2010-08-01
MA,2010,9,11.600787361390458,2010-09-01
MA,2010,10,6.309029446717745,2010-10-01
MA,2010,11,4.251942000759574,2010-11-01
MA,2010,12,-9.432064005071874,2010-12-01
MA,2011,1,6.225153557098018,2011-01-01
MA,2011,2,1.0437303021814675,2011-02-01
MA,2011,3,5.562553445392608,2011-03-01
MA,2011,4,8.593524999085389,2011-04-01
MA,2011,5,1.9667678472248917,2011-05-01
MA,2011,6,12.275591400519184,2011-06-01
MA,2011,7,-3.177637216892916,2011-07-01
MA,2011,8,11.208131149401439,2011-08-01
MA,2011,9,-3.362003063540521,2011-09-01
MA,2011,10,6.033893950829185,2011-10-01
MA,2011,11,13.741214635831541,2011-11-01
MA,2011,12,-1.9330375951193524,2011-12-01
MA,2012,1,-3.88512340055794,2012-01-01
MA,2012,2,16.493224802366885,2012-02-01
MA,2012,3,0.1893219905079565,2012-03-01
MA,2012,4,8.379602357041147,2012-04-01
MA,2012,5,-14.853830388859853,2012-05-01
MA,2012,6,9.628479656606883,2012-06-01
MA,2012,7,-0.3882642388484646,2012-07-01
MA,2012,8,-0.9553618331770964,2012-08-01
MA,2012,9,7.838937360566607,2012-09-01
MA,2012,10,2.737051613524292,2012-10-01
MA,2012,11,4.302630992673308,2012-11-01
MA,2012,12,0.6263522760490575,2012-12-01
MA,2013,1,5.5883726550092865,2013-01-01
MA,2013,2,0.014345661727857225,2013-02-01
MA,2013,3,3.6933128141663123,2013-03-01
MA,2013,4,0.6615679799218281,2013-04-01
MA,2013,5,5.609118534013563,2013-05-01
MA,2013,6,2.401101913576282,2013-06-01
MA,2013,7,10.542828148543586,2013-07-01
MA,2013,8,-6.345277458730118,2013-08-01
MA,2013,9,11.321599301977754,2013-09-01
MA,2013,10,8.639327661045774,2013-10-01
MA,2013,11,3.1904149182116432,2013-11-01
MA,2013,12,9.471155056121754,2013-12-01
MA,2014,1,-9.379584497034044,2014-01-01
MA,2014,2,2.7825071429942785,2014-02-01
MA,2014,3,-3.5675685411887175,2014-03-01
MA,2014,4,-0.28742312129656156,2014-04-01
MA,2014,5,3.049598448207064,2014-05-01
MA,2014,6,-1.0998993264490653,2014-06-01
MA,2014,7,-0.5571842915633837,2014-07-01
MA,2014,8,1.1806418050621503,2014-08-01
MA,2014,9,-3.1860122640246438,2014-09-01
MA,2014,10,13.944420903272182,2014-10-01
MA,2014,11,4.398941701278577,2014-11-01
MA,2014,12,-1.265618814019492,2014-12-01
MA,2015,1,-4.7542756531773,2015-01-01
MA,2015,2,9.59666173537834,2015-02-01
MA,2015,3,-3.601219665886541,2015-03-01
MA,2015,4,5.205961212212574,2015-04-01
MA,2015,5,1.485536554454512,2015-05-01
MA,2015,6,2.185068674947604,2015-06-01
MA,2015,7,3.1357246350559946,2015-07-01
MA,2015,8,-8.502457779986766,2015-08-01
MA,2015,9,2.103943356008847,2015-09-01
MA,2015,10,8.871224129242524,2015-10-01
MA,2015,11,-0.9909000456034606,2015-11-01
MA,2015,12,-0.3521747805113074,2015-12-01
MA,2016,1,-8.88076383952338,2016-01-01
MA,2016,2,2.0390021553559934,2016-02-01
MA,2016,3,6.3216150516538105,2016-03-01
MA,2016,4,1.2266355665082338,2016-04-01
MA,2016,5,-0.5320405041433018,2016-05-01
MA,2016,6,-7.810739333104183,2016-06-01
MA,2016,7,6.871286965516492,2016-07-01
MA,2016,8,2.680945467797244,2016-08-01
MA,2016,9,4.2399327002053715,2016-09-01
MA,2016,10,3.190423903846079,2016-10-01
MA,2016,11,-4.443165959357766,2016-11-01
MA,2016,12,3.142564533110138,2016-12-01
MA,2017,1,1.776204007441562,2017-01-01
MA,2017,2,6.776633736384051,2017-02-01
MA,2017,3,0.1835908856386122,2017-03-01
MA,2017,4,3.4555664565977215,2017-04-01
MA,2017,5,5.932142677304651,2017-05-01
MA,2017,6,-1.4798529942870655,2017-06-01
MA,2017,7,6.479172196033815,2017-07-01
MA,2017,8,2.922728382185146,2017-08-01
MA,2017,9,5.958927965101946,2017-09-01
MA,2017,10,5.3434244384480145,2017-10-01
MA,2017,11,0.6772291039544502,2017-11-01
MA,2017,12,1.2505351275238463,2017-12-01
MA,2018,1,13.43757784728876,2018-01-01
MA,2018,2,0.6875164698766342,2018-02-01
MA,2018,3,1.2333506251307278,2018-03-01
MA,2018,4,3.1409553514498074,2018-04-01
MA,2018,5,8.181403944798584,2018-05-01
MA,2018,6,0.7421410308174715,2018-06-01
MA,2018,7,2.567941320401242,2018-07-01
MA,2018,8,6.976424186840073,2018-08-01
MA,2018,9,3.8289506205202746,2018-09-01
MA,2018,10,-10.428611061823975,2018-10-01
MA,2018,11,1.3387139907809031,2018-11-01
MA,2018,12,-5.669633631694945,2018-12-01
MA,2019,1,12.886325221424888,2019-01-01
MA,2019,2,6.168860696965332,2019-02-01
MA,2019,3,5.176942090367485,2019-03-01
MA,2019,4,4.0684645981615555,2019-04-01
MA,2019,5,1.2404630693307537,2019-05-01
MA,2019,6,6.183026452990286,2019-06-01
MA,2019,7,2.813361841843189,2019-07-01
MA,2019,8,3.0285702485098644,2019-08-01
MA,2019,9,-3.5332268902669113,2019-09-01
MA,2019,10,3.2879650968646654,2019-10-01
