Date,Ticker,Volume,Avg_Volume,Volume_Status
2017-11-28,V,14505400,5932170,Spike
2017-11-29,AXP,5328300,2945395,Spike
2017-11-29,MA,6943700,3284980,Spike
2017-11-29,V,18533300,6550470,Spike
2017-11-30,V,13101800,6930230,Spike
2017-12-03,MA,7490100,3545020,Spike
2017-12-03,V,18909100,7687805,Spike
2017-12-04,MA,6807100,3728230,Spike
2017-12-14,AXP,7891800,3565175,Spike
2017-12-14,V,16388000,9638780,Spike
2018-01-15,MA,4673400,2814705,Spike
2018-01-16,AXP,4469700,2755290,Spike
2018-01-17,AXP,5290700,2845555,Spike
2018-01-17,MA,4150600,2749095,Spike
2018-01-18,AXP,12306000,3296725,Spike
2018-01-30,MA,5815300,3262165,Spike
2018-01-31,MA,6848400,3417965,Spike
2018-02-01,MA,6556500,3583430,Spike
2018-02-01,V,13937700,7783575,Spike
2018-02-04,AXP,6421900,4227125,Spike
2018-02-04,MA,7196000,3805845,Spike
2018-02-04,V,16623900,8185245,Spike
2018-02-05,AXP,7244000,4494500,Spike
2018-02-05,MA,7259900,4011685,Spike
2018-02-05,V,19053300,8804875,Spike
2018-02-07,MA,6557700,4308270,Spike
2018-02-08,AXP,8017600,4975810,Spike
2018-02-08,V,17695500,9786280,Spike
2018-03-18,V,17387800,7658625,Spike
2018-04-18,AXP,11716900,4214635,Spike
2018-04-25,V,14345800,8140285,Spike
2018-05-01,MA,10133100,4260085,Spike
2018-05-28,AXP,4377800,2771555,Spike
2018-05-28,V,10401900,6292245,Spike
2018-05-29,V,10631300,6503445,Spike
2018-05-30,V,11086000,6631980,Spike
2018-06-06,AXP,4245700,2745425,Spike
2018-06-14,AXP,6741200,3076025,Spike
2018-06-21,AXP,7235400,3531830,Spike
2018-06-24,AXP,7996700,3839125,Spike
2018-07-11,V,11816100,7568170,Spike
2018-07-18,AXP,7171100,4229470,Spike
2018-07-24,MA,4967900,2918035,Spike
2018-07-25,MA,7279900,3120380,Spike
2018-07-26,MA,4913000,3234975,Spike
2018-07-29,MA,5939300,3381595,Spike
2018-07-29,V,12812400,7693215,Spike
2018-09-04,AXP,5511800,2492715,Spike
2018-09-04,V,11363400,6148670,Spike
2018-09-05,V,9589200,6358655,Spike
2018-09-06,V,13626200,6756000,Spike
2018-09-11,AXP,4103100,2667900,Spike
2018-09-20,AXP,5662900,2932095,Spike
2018-09-20,MA,7177800,3208435,Spike
2018-09-20,V,15628100,7771190,Spike
2018-10-03,MA,5664900,3215520,Spike
2018-10-07,MA,5611000,3378245,Spike
2018-10-07,V,11637300,7661115,Spike
2018-10-08,MA,5659400,3524790,Spike
2018-10-09,AXP,4555600,2874505,Spike
2018-10-09,MA,8455000,3832975,Spike
2018-10-09,V,15450100,8130520,Spike
2018-10-10,AXP,6069300,3006490,Spike
2018-10-10,MA,9185200,4097335,Spike
2018-10-10,V,15657200,8623210,Spike
2018-10-11,AXP,4855900,3099295,Spike
2018-10-18,AXP,5726300,3325750,Spike
2018-10-29,MA,9239200,5636195,Spike
2018-11-06,V,20502100,11957105,Spike
2018-11-19,MA,7892900,4727585,Spike
2018-11-25,MA,6917200,4606995,Spike
2018-11-29,MA,7944700,4386305,Spike
2018-12-05,AXP,7455200,3780760,Spike
2018-12-05,V,16391900,10316605,Spike
2018-12-09,V,15744300,10482730,Spike
2018-12-16,AXP,7345500,4087470,Spike
2018-12-19,AXP,7110500,4492495,Spike
2018-12-19,V,18091700,11418350,Spike
2018-12-20,AXP,11005300,4903210,Spike
2018-12-20,MA,8374300,5528970,Spike
2018-12-20,V,25448600,12319965,Spike
2019-01-17,AXP,9872500,4825040,Spike
2019-01-30,MA,11316200,4306125,Spike
2019-01-30,V,20095700,9220680,Spike
2019-03-14,V,20162000,8698940,Spike
2019-03-25,V,15594400,9103065,Spike
2019-03-27,V,16902200,9761795,Spike
2019-04-17,AXP,6186800,3571230,Spike
2019-04-28,V,10003600,6502655,Spike
2019-04-29,MA,7179600,3096000,Spike
