Date,Ticker,Daily_Return_Percentage,Z_Score
2022-09-12,MA,-3.8354536642946377,-2.2669801498167215
2020-03-22,MA,-3.8407160611897146,-2.270014160919803
2020-03-04,MA,-3.8463899457164503,-2.273285413353807
2020-03-10,MA,-3.852855418663955,-2.277013052507698
2011-10-24,MA,-3.8686092300842625,-2.286095841152883
2019-09-09,MA,-3.8925535919214536,-2.299900854556223
2022-11-01,MA,-4.012702695773139,-2.3691722763777725
2010-06-28,MA,-4.032694001859192,-2.380698173386211
2020-04-15,MA,-4.036728991459147,-2.3830245283706732
2014-12-11,MA,-4.059735155196305,-2.3962886279073583
2010-11-15,MA,-4.062926856864622,-2.398128789053025
2022-04-28,MA,-4.07834501808736,-2.4070180600965387
2022-06-09,MA,-4.0831096053884055,-2.4097650613321346
2020-02-26,MA,-4.100161885113553,-2.419596475999346
2015-08-20,MA,-4.103225925216038,-2.4213630344472508
2022-05-04,MA,-4.111037131950996,-2.4258665503231627
2010-04-26,MA,-4.112423147785287,-2.4266656514769007
2018-12-20,MA,-4.115826575449173,-2.428627882286672
2016-02-04,MA,-4.135314360712431,-2.4398634766445397
2017-12-03,MA,-4.181954101128489,-2.4667534078087083
2020-03-17,MA,-4.182781840182697,-2.467230637012623
2020-06-23,MA,-4.19381256761865,-2.473590352971534
2024-08-04,MA,-4.33314347641341,-2.5539209575827493
2016-06-29,MA,-4.417680288201247,-2.602660273658156
2020-02-23,MA,-4.424514004727826,-2.60660022198025
2016-06-23,MA,-4.430002000070827,-2.6097643008470306
2021-10-03,MA,-4.436665052627312,-2.6136058536298896
2018-12-03,MA,-4.464881251792244,-2.629873775502762
2022-06-12,MA,-4.483925721931727,-2.6408537785332338
2019-01-02,MA,-4.511467960957667,-2.6567331317394878
2022-02-28,MA,-4.528558239069938,-2.666586454204748
2020-03-30,MA,-4.615982893449457,-2.7169907428509834
2021-11-25,MA,-4.65587175666627,-2.7399884863321566
2020-09-02,MA,-4.67425871059503,-2.7505894013684
2014-01-23,MA,-4.674605331422783,-2.750789244037232
2019-08-04,MA,-4.679935934664817,-2.7538625792008307
2011-08-03,MA,-4.688783282759654,-2.758963477686399
2011-09-08,MA,-4.7024362639999016,-2.7668350422032875
2011-10-18,MA,-4.742772002176866,-2.790090429419402
2019-10-21,MA,-4.753886756303796,-2.7964985905865447
2020-03-02,MA,-4.80535943309387,-2.8261749293348633
2018-02-07,MA,-4.806511507121961,-2.826839152399465
2018-11-18,MA,-4.903525076639846,-2.882771886652591
2014-04-24,MA,-4.9630146826397885,-2.9170703496382724
2020-04-14,MA,-5.016224733628084,-2.947748363614193
2022-06-15,MA,-5.104652070455589,-2.998730744285927
2014-01-30,MA,-5.115361063091409,-3.0049049655025533
2010-05-04,MA,-5.2974824412491435,-3.1099062214807875
2020-03-31,MA,-5.360994054886295,-3.1465235547590886
2022-03-06,MA,-5.393623949448977,-3.16533617272946
2021-11-21,MA,-5.422131598495699,-3.1817721287120686
2022-05-08,MA,-5.511073662264843,-3.233051272871453
2021-07-18,MA,-5.5977565230214825,-3.2830278837630673
2021-01-13,MA,-5.601590445103484,-3.285238314180435
2023-10-25,MA,-5.62243141995933,-3.297254083871017
2020-03-26,MA,-5.900923941915904,-3.4578176864627994
2011-08-09,MA,-5.916809147650832,-3.4669762299051596
2021-10-26,MA,-6.044994973356183,-3.540881187323237
2018-10-09,MA,-6.230926203715056,-3.6480789963380102
2011-08-17,MA,-6.532399344614466,-3.821891970730972
2020-02-24,MA,-6.708315856053476,-3.923315838896561
2010-07-15,MA,-6.888223973260168,-4.027041049294547
2020-03-19,MA,-6.924937438794328,-4.0482080316191675
2020-06-10,MA,-6.993457751420901,-4.087713107621723
2020-10-27,MA,-8.113891317821913,-4.733694007296143
2010-05-13,MA,-8.548876517625272,-4.984482754742025
2020-03-08,MA,-8.710496061956544,-5.077663771254626
2010-02-03,MA,-10.28752970418613,-5.9868953772806845
2010-12-15,MA,-10.324181246338116,-6.008026657959686
2020-03-11,MA,-10.47599532920214,-6.095554380059944
2011-08-07,MA,-10.589830365409421,-6.161185454769582
2020-03-15,MA,-12.72546142519882,-7.3924738727047785
